4096, 32, 10.180663220148148
4096, 64, 20.745502410867925
4096, 128, 40.72265288059259
4096, 256, 82.9820096434717
4096, 512, 162.89061152237036
4096, 1024, 274.877906944
4096, 2048, 366.5038759253333
4096, 4096, 232.24007979427063
4096, 8192, 218.8763426987994
4096, 16384, 223.7479942056089
4096, 32768, 214.62064560477012
32, 4096, 10.372751205433962
64, 4096, 20.745502410867925
128, 4096, 42.288908760615385
256, 4096, 82.9820096434717
512, 4096, 159.92896404014544
1024, 4096, 247.77726823121128
2048, 4096, 351.84372088832004
4096, 4096, 233.78320324805316
8192, 4096, 218.8763426987994
16384, 4096, 223.9259957920891
32768, 4096, 226.81303522212409
